"","salary","age","college","grad","comten","ceoten","sales","profits","mktval","profmarg"
"1",1161,49,1,1,9,2,6200,966,23200,15.5806455612183
"2",600,43,1,1,10,10,283,48,1100,16.9611301422119
"3",379,51,1,1,9,3,169,40,1100,23.6686382293701
"4",651,55,1,0,22,22,1100,-54,1000,-4.90909099578857
"5",497,44,1,1,8,6,351,28,387,7.97720813751221
"6",1067,64,1,1,7,7,19000,614,3900,3.23157906532288
"7",945,59,1,0,35,10,536,24,623,4.47761201858521
"8",1261,63,1,1,32,8,4800,191,2100,3.97916674613953
"9",503,47,1,1,4,4,610,7,454,1.14754092693329
"10",1094,64,1,1,39,5,2900,230,3900,7.93103456497192
"11",601,54,1,1,26,7,1200,34,533,2.83333325386047
"12",355,66,1,0,39,8,560,8,477,1.42857146263123
"13",1200,72,1,0,37,37,796,35,678,4.39698505401611
"14",697,51,1,0,25,1,8200,234,5700,2.85365843772888
"15",1041,63,1,1,21,11,4300,91,1400,2.11627912521362
"16",245,44,1,1,7,7,135,24,558,17.7777786254883
"17",817,68,1,0,38,4,1300,55,847,4.23076915740967
"18",1675,71,0,0,31,12,674,115,1200,17.0623149871826
"19",971,72,1,1,33,24,1400,69,609,4.92857122421265
"20",609,58,1,0,36,1,1100,69,880,6.27272748947144
"21",470,60,1,1,20,6,2300,210,2200,9.1304349899292
"22",867,59,1,0,36,14,884,81,1500,9.16289615631104
"23",752,54,1,0,32,4,1600,193,3200,12.0625
"24",246,51,1,0,8,8,78,13,458,16.6666660308838
"25",825,56,1,1,4,4,10700,295,5900,2.75700926780701
"26",358,50,1,1,23,4,99,25,2300,25.2525253295898
"27",1162,58,1,0,24,6,3800,226,1800,5.94736862182617
"28",270,43,1,0,15,2,150,28,713,18.6666660308838
"29",829,56,1,0,14,8,2200,184,1500,8.3636360168457
"30",300,77,0,0,45,26,6900,483,4700,7
"31",1627,62,1,1,13,4,8300,596,9100,7.18072271347046
"32",1237,63,1,1,37,9,4600,108,6200,2.34782600402832
"33",540,61,1,1,37,1,5200,549,5600,10.557692527771
"34",1798,66,1,1,21,14,24300,338,12500,1.39094650745392
"35",474,40,1,0,18,1,2700,117,2000,4.33333349227905
"36",1336,60,1,1,21,13,4500,562,4300,12.4888887405396
"37",541,51,1,0,30,4,1400,82,1200,5.85714292526245
"38",129,66,1,1,4,4,59,28,412,47.4576263427734
"39",1700,54,1,1,21,5,6800,1200,20400,17.6470584869385
"40",1750,66,1,1,31,24,16200,1400,17900,8.64197540283203
"41",624,61,1,1,21,13,1100,109,934,9.90909099578857
"42",791,66,1,0,14,8,2300,-60,487,-2.60869574546814
"43",1487,51,1,0,3,3,22200,182,2800,0.819819808006287
"44",2021,56,1,0,34,3,51300,2700,42900,5.26315784454346
"45",1550,47,1,1,19,3,1100,120,4900,10.9090909957886
"46",401,64,1,0,44,8,571,57,670,9.98248672485352
"47",1295,62,1,0,8,8,10700,1300,16400,12.1495323181152
"48",449,56,1,0,31,1,661,37,538,5.59757947921753
"49",456,56,1,1,9,3,381,34,6700,8.92388439178467
"50",1142,53,1,1,30,1,28000,1900,26300,6.7857141494751
"51",577,64,1,0,26,2,3000,287,5700,9.56666660308838
"52",600,56,1,1,18,7,11700,-40,4000,-0.341880351305008
"53",649,44,1,1,4,4,336,17,475,5.0595235824585
"54",822,60,1,0,22,20,896,77,752,8.59375
"55",1080,52,1,0,18,5,388,55,1600,14.1752576828003
"56",1738,54,0,0,34,12,10700,842,15400,7.86915874481201
"57",581,54,1,0,19,19,408,23,403,5.63725471496582
"58",912,54,1,0,9,9,2600,239,2400,9.192307472229
"59",650,69,1,0,37,13,261,40,817,15.3256702423096
"60",2199,52,1,1,8,8,5600,475,6300,8.48214244842529
"61",609,53,1,1,15,15,567,34,498,5.99647283554077
"62",1946,73,1,0,25,21,7800,484,8000,6.20512819290161
"63",552,52,1,0,30,1,2800,308,3500,11
"64",481,59,1,1,26,4,611,90,667,14.7299509048462
"65",526,45,1,0,8,7,2400,106,2000,4.41666650772095
"66",471,60,1,0,3,2,160,7,425,4.375
"67",630,56,1,0,29,1,1700,-55,420,-3.23529410362244
"68",622,57,1,0,35,4,2500,143,1200,5.71999979019165
"69",999,52,1,0,28,17,159,21,398,13.2075471878052
"70",585,60,1,1,36,10,1700,33,449,1.94117641448975
"71",1107,57,1,0,17,6,2200,149,1100,6.77272748947144
"72",1099,59,1,0,34,10,8600,182,1800,2.11627912521362
"73",425,86,1,1,13,13,36,11,644,30.5555553436279
"74",2792,40,1,0,11,11,534,35,888,6.55430698394775
"75",350,54,1,0,31,4,1000,46,812,4.59999990463257
"76",363,58,1,1,36,6,717,80,880,11.1576013565063
"77",2265,63,1,1,35,6,18000,1700,18800,9.44444465637207
"78",377,45,1,0,7,5,238,57,1200,23.9495792388916
"79",879,63,1,1,21,9,1700,212,4900,12.470588684082
"80",720,49,1,0,12,12,672,23,1400,3.42261910438538
"81",950,63,1,0,27,14,2600,6,1500,0.230769231915474
"82",1143,67,0,0,23,3,1800,56,918,3.11111116409302
"83",1064,58,1,0,27,3,3500,195,2600,5.57142877578735
"84",1253,60,1,1,36,5,2600,142,3700,5.46153831481934
"85",462,58,1,1,23,0,1400,50,769,3.57142853736877
"86",174,69,1,0,13,13,29,6,390,20.6896553039551
"87",474,63,1,0,41,4,2200,175,2600,7.95454549789429
"88",1248,48,1,1,21,7,3500,423,7300,12.08571434021
"89",1101,62,1,1,32,3,954,96,1200,10.0628929138184
"90",348,43,1,1,12,10,586,79,1400,13.4812288284302
"91",650,55,1,1,28,5,5700,-438,817,-7.68421030044556
"92",875,58,1,1,32,10,5300,308,2200,5.81132078170776
"93",1600,61,1,0,4,1,12300,877,9400,7.13008117675781
"94",1500,55,1,1,30,4,7900,665,4800,8.41772174835205
"95",323,39,1,1,15,3,637,63,517,9.89011001586914
"96",459,59,1,0,33,3,785,40,1400,5.09554147720337
"97",925,56,1,1,26,12,3300,67,2200,2.03030300140381
"98",375,46,1,1,4,4,599,20,501,3.33889818191528
"99",447,53,1,0,4,1,143,16,527,11.1888113021851
"100",1340,55,1,0,13,10,1400,131,2900,9.35714244842529
"101",1749,57,1,1,26,11,8100,40,10000,0.493827164173126
"102",491,43,1,1,21,2,561,54,521,9.6256685256958
"103",5299,64,1,0,42,13,2400,119,1500,4.95833349227905
"104",431,58,1,1,33,3,815,36,550,4.41717767715454
"105",729,50,1,1,15,3,2000,182,2600,9.10000038146973
"106",1284,54,1,1,32,3,12300,1300,19600,10.5691061019897
"107",1373,57,1,0,36,8,14300,1600,23600,11.1888113021851
"108",989,40,1,0,18,5,439,30,582,6.83371305465698
"109",515,52,1,1,27,1,1100,51,889,4.63636350631714
"110",1301,50,1,1,19,15,1800,130,1600,7.22222232818604
"111",834,58,1,0,35,1,4400,63,890,1.43181812763214
"112",849,46,1,1,24,24,538,36,473,6.6914496421814
"113",100,61,1,1,26,26,2700,394,10100,14.5925922393799
"114",679,62,1,0,40,6,4900,-463,1400,-9.44897937774658
"115",567,56,1,0,31,10,597,65,1700,10.8877725601196
"116",559,54,1,0,22,2,2100,13,686,0.61904764175415
"117",704,52,1,1,6,6,50,8,903,16
"118",308,45,1,1,14,14,210,39,1900,18.5714282989502
"119",1392,48,1,1,6,6,4800,51,1100,1.0625
"120",389,55,1,0,29,4,478,38,420,7.94979095458984
"121",790,69,1,0,45,37,1200,140,3200,11.6666669845581
"122",396,80,1,0,58,28,513,53,963,10.3313837051392
"123",398,54,1,0,4,4,633,69,1800,10.9004735946655
"124",707,46,1,1,6,1,130,26,1200,20
"125",984,60,1,0,7,4,1500,135,1700,9
"126",410,55,1,0,36,20,501,34,590,6.78642702102661
"127",1095,60,1,1,33,5,27600,1400,17100,5.07246398925781
"128",694,61,1,1,35,19,4200,75,1000,1.78571426868439
"129",834,61,1,1,32,0,7600,364,5300,4.78947353363037
"130",1630,39,1,1,8,8,227,27,822,11.8942728042603
"131",493,55,1,1,4,1,1300,80,834,6.1538462638855
"132",625,57,0,0,36,9,1400,87,979,6.2142858505249
"133",483,52,1,1,18,14,1000,35,548,3.5
"134",733,60,1,0,8,8,347,18,778,5.1873197555542
"135",2102,67,1,1,41,20,10300,1700,45400,16.5048542022705
"136",853,58,1,0,34,34,818,33,411,4.03422975540161
"137",345,54,1,1,33,0,994,56,781,5.63380289077759
"138",800,57,1,1,12,9,1800,32,479,1.77777779102325
"139",764,55,1,1,31,16,1100,145,2100,13.1818180084229
"140",806,59,1,1,3,3,3000,257,3900,8.56666660308838
"141",310,40,1,0,18,1,2400,60,1300,2.5
"142",1119,61,1,0,34,9,2500,71,1200,2.83999991416931
"143",1287,59,1,1,4,3,4700,222,2700,4.72340440750122
"144",1170,57,1,1,9,3,1900,208,5600,10.9473686218262
"145",880,62,1,0,36,12,5300,229,4000,4.32075452804565
"146",1091,33,1,0,9,9,181,36,1300,19.8895034790039
"147",1100,65,1,0,18,6,563,-271,544,-48.1349906921387
"148",650,53,1,1,5,4,1482,40,557,2.69905543327332
"149",607,38,1,1,7,3,231,38,599,16.450216293335
"150",1133,63,1,0,9,9,870,37,686,4.25287342071533
"151",393,58,1,1,36,6,285,40,956,14.0350875854492
"152",605,53,1,0,16,4,422,30,505,7.10900497436523
"153",1444,59,1,1,2,2,6204,401,10700,6.46357202529907
"154",1033,62,1,1,30,1,5400,478,7300,8.85185146331787
"155",1142,50,1,1,11,3,2600,166,2200,6.38461542129517
"156",537,46,1,1,20,20,1200,17,669,1.41666662693024
"157",693,42,1,0,17,12,1400,206,3000,14.7142858505249
"158",439,57,1,1,26,12,2600,280,3800,10.7692308425903
"159",358,64,1,0,43,11,584,45,423,7.70547962188721
"160",1276,64,1,0,41,17,635,52,1300,8.1889762878418
"161",873,41,1,1,2,2,149,21,567,14.0939598083496
"162",537,57,1,1,35,1,11400,210,4800,1.84210526943207
"163",713,57,1,1,12,2,1600,55,1300,3.4375
"164",1350,68,1,1,5,5,3300,92,2100,2.78787875175476
"165",1268,47,1,0,20,4,1100,47,2500,4.27272748947144
"166",465,64,1,1,31,3,2400,326,2400,13.5833330154419
"167",693,46,1,1,7,3,2200,44,533,2
"168",369,49,1,1,4,1,65,-132,1200,-203.076919555664
"169",381,54,1,0,30,2,2700,386,4500,14.2962961196899
"170",467,49,1,1,13,0,513,49,534,9.55165672302246
"171",559,57,1,1,34,16,605,56,653,9.25619792938232
"172",218,57,1,1,33,5,504,41,421,8.13492107391357
"173",264,63,1,0,42,3,334,43,480,12.8742513656616
"174",185,58,1,0,39,1,766,49,560,6.39686679840088
"175",387,71,1,1,32,13,432,28,477,6.48148155212402
"176",2220,63,1,1,18,18,277,-80,540,-28.8808670043945
"177",445,69,1,0,23,0,249,31,828,12.4497995376587
